ask_price,ask_whole_lot_volume,ask_lot_volume,bid_price,bid_whole_lot_volume,bit_lot_volume,close_price,close_volume
37393.20000,1,1.000,37384.90000,1,1.000,37401.70000,0.04016031
37393.20000,1,1.000,37384.30000,1,1.000,37401.70000,0.04016031
37393.20000,1,1.000,37384.30000,1,1.000,37401.70000,0.04016031
37371.30000,6,6.000,37371.20000,1,1.000,37401.70000,0.04016031
37371.30000,6,6.000,37371.20000,1,1.000,37401.70000,0.04016031
37347.80000,4,4.000,37347.70000,1,1.000,37401.70000,0.04016031
37364.50000,1,1.000,37347.80000,1,1.000,37347.70000,0.00000007
37364.50000,1,1.000,37356.80000,1,1.000,37364.50000,0.12000000
37364.50000,1,1.000,37356.10000,1,1.000,37364.50000,0.12000000
37364.50000,1,1.000,37356.10000,1,1.000,37364.50000,0.12000000
37351.40000,1,1.000,37347.80000,1,1.000,37364.50000,0.12000000
37362.20000,1,1.000,37348.50000,1,1.000,37364.50000,0.12000000
37349.70000,2,2.000,37349.60000,1,1.000,37349.60000,0.00078286
37349.70000,2,2.000,37349.60000,1,1.000,37349.60000,0.00078286
37357.90000,1,1.000,37348.40000,1,1.000,37349.60000,0.00078286
37352.70000,1,1.000,37351.20000,1,1.000,37349.60000,0.00078286
37352.70000,1,1.000,37351.20000,1,1.000,37349.60000,0.00078286
37338.60000,2,2.000,37335.00000,1,1.000,37349.60000,0.00078286
37338.60000,2,2.000,37338.50000,1,1.000,37349.60000,0.00078286
37345.70000,1,1.000,37338.50000,1,1.000,37349.60000,0.00078286
37357.30000,1,1.000,37344.50000,1,1.000,37349.60000,0.00078286
37355.60000,1,1.000,37345.10000,2,2.000,37357.30000,0.00107952
37337.20000,1,1.000,37334.70000,1,1.000,37339.00000,0.00100000
37334.80000,2,2.000,37334.70000,1,1.000,37337.20000,0.04017301
37325.70000,1,1.000,37311.50000,1,1.000,37334.80000,0.14731021
37353.80000,1,1.000,37353.70000,3,3.000,37334.00000,0.05000000
37353.80000,1,1.000,37353.70000,3,3.000,37334.00000,0.05000000
37353.80000,1,1.000,37353.70000,7,7.000,37353.80000,0.16000000
37353.80000,1,1.000,37353.70000,6,6.000,37334.00000,0.05000000
37371.10000,1,1.000,37371.00000,3,3.000,37353.80000,0.03000000
37366.60000,2,2.000,37366.50000,1,1.000,37353.80000,0.03000000
37362.30000,1,1.000,37355.00000,1,1.000,37362.40000,0.02264990
37361.40000,1,1.000,37354.90000,1,1.000,37362.40000,0.02264990
37361.40000,1,1.000,37354.90000,1,1.000,37362.40000,0.02264990
37358.40000,1,1.000,37358.30000,1,1.000,37362.40000,0.02264990
37358.40000,7,7.000,37358.30000,1,1.000,37358.40000,0.02374655
37358.40000,4,4.000,37358.30000,1,1.000,37358.40000,0.02374655
37358.40000,7,7.000,37358.30000,1,1.000,37358.40000,0.02374655
37353.50000,1,1.000,37342.20000,1,1.000,37358.40000,0.02374655
37347.90000,1,1.000,37339.10000,1,1.000,37358.40000,0.02374655
37334.80000,2,2.000,37334.70000,1,1.000,37358.40000,0.02374655
37334.80000,2,2.000,37334.70000,1,1.000,37358.40000,0.02374655
37334.80000,3,3.000,37334.70000,1,1.000,37358.40000,0.02374655
